,stations,lats,lons,start,end,datapoints,continuous datapoints
310,1160708_Q_Day.Cmd.txt,-29.847222,30.235278,1949-07,2020-02,24336,5818
307,1160705_Q_Day.Cmd.txt,-29.862222,30.244167,1964-10,2020-02,19094,7278
305,1160703_Q_Day.Cmd.txt,-30.13561111,30.67372222,2004-05,2020-02,5172,3135
450,1196565_Q_Day.Cmd.txt,-24.633333,28.596389,1973-06,2020-02,16278,5184
209,1160385_Q_Day.Cmd.txt,-33.545278,22.973889,1967-04,2020-02,17876,7364
230,1160450_Q_Day.Cmd.txt,-33.737778,23.304167,1970-07,2020-02,17786,4661
278,1160396_Q_Day.Cmd.txt,-33.4675,22.000556,1969-06,2020-02,17950,3240
497,1199200_Q_Day.Cmd.txt,-27.528056,30.853889,1950-08,2020-02,22853,2392
212,1160393_Q_Day.Cmd.txt,-33.679167,22.14,1969-04,2020-02,18020,3050
499,1199310_Q_Day.Cmd.txt,-27.36325,31.78261111,1968-10,2020-02,18132,5025
225,1160430_Q_Day.Cmd.txt,-33.890833,23.029167,1961-08,2020-02,20928,6689
217,1160405_Q_Day.Cmd.txt,-33.950833,22.422222,1961-04,2020-02,21423,11995
216,1160403_Q_Day.Cmd.txt,-34.02861111,22.22194444,1961-05,2020-02,21293,3823
215,1160400_Q_Day.Cmd.txt,-34.006667,22.350278,1961-04,2020-02,21077,1599
214,1160398_Q_Day.Cmd.txt,-33.460833,21.960278,1975-03,2020-02,16293,7140
213,1160395_Q_Day.Cmd.txt,-33.368056,22.179167,1966-04,2020-02,19348,7439
218,1160410_Q_Day.Cmd.txt,-33.935278,22.130556,1958-07,2020-02,20473,1786
220,1160417_Q_Day.Cmd.txt,-34.03166667,22.05277778,1969-03,2020-02,18310,4584
314,1160717_Q_Day.Cmd.txt,-29.423056,30.488056,1960-08,2020-01,21154,4221
566,1196850_Q_Day.Cmd.txt,-24.06628,31.24288,1987-11,2020-01,10585,1285
446,1196561_Q_Day.Cmd.txt,-24.665278,28.475,1966-11,2020-01,19334,6839
102,1159525_Q_Day.Cmd.txt,-27.04628,27.00464,1978-04,2020-01,15013,3214
448,1196563_Q_Day.Cmd.txt,-24.663056,28.454722,1973-08,2020-01,15870,5984
449,1196564_Q_Day.Cmd.txt,-24.671389,28.560278,1973-08,2020-01,16864,5958
375,1160913_Q_Day.Cmd.txt,-27.93863889,31.20944444,1988-02,2020-01,11334,6831
289,1160650_Q_Day.Cmd.txt,-30.734167,29.828611,1951-09,2020-01,24189,4431
454,1196700_Q_Day.Cmd.txt,-24.68,30.801944,1911-11,2020-01,27400,3114
436,1196443_Q_Day.Cmd.txt,-25.38022,28.3165,1905-03,2020-01,40490,5242
398,1196160_Q_Day.Cmd.txt,-24.556111,31.032222,1950-11,2020-01,22754,3621
399,1196170_Q_Day.Cmd.txt,-24.911944,30.103056,1966-09,2020-01,18553,4694
429,1160940_Q_Day.Cmd.txt,-34.25166667,20.99194444,1967-04,2020-01,19068,1916
397,1196150_Q_Day.Cmd.txt,-24.035,30.433333,1960-08,2020-01,19714,4461
402,1196190_Q_Day.Cmd.txt,-24.686944,30.813611,1959-09,2020-01,21943,4928
396,1196142_Q_Day.Cmd.txt,-24.123889,30.355278,1973-08,2020-01,16239,5483
392,1160985_Q_Day.Cmd.txt,-30.27402778,30.69602778,1987-05,2020-01,8366,2787
390,1160981_Q_Day.Cmd.txt,-30.32827778,30.32897222,2000-09,2020-01,6672,1719
341,1160773_Q_Day.Cmd.txt,-30.86013889,29.07125,1984-09,2020-01,11066,3692
